timestamp_sec,response_time_ms,is_attack_active
3085.919928,2.165,0
3086.025883,1.823,0
3086.128736,2.042,0
3086.231886,2.524,0
3086.335479,2.745,0
3086.448413,2.205,1
3086.588615,6.335,1
3086.703183,33.637,1
3086.837989,1.991,1
3086.947934,2.179,1
3087.070022,2.362,1
3087.235986,2.557,1
3087.349283,2.202,1
3087.474445,2.105,1
3087.589054,14.926,1
3087.724826,30.209,1
3088.170496,2.504,1
3088.560144,2.495,1
3088.684931,1.965,1
3088.850136,1.983,1
3089.046056,2.019,1
3089.218429,2.380,1
3089.477534,1.814,1
3089.757948,1.834,1
3090.007569,2.035,1
3090.187888,4.586,1
3090.299548,2.459,1
3090.457397,1.919,1
3090.624120,2.390,1
3090.740510,2.333,1
3090.868415,14.348,1
3090.987745,2.013,1
3091.104178,2.597,1
3091.260058,1.798,1
3091.412878,8.862,1
3091.557668,8.965,1
3091.726566,2.218,1
3091.859877,2.066,1
3091.990215,2.223,1
3092.110303,2.174,1
3092.226487,2.537,1
3092.344546,2.062,1
3092.528631,15.925,1
3092.684505,2.384,1
3092.809502,1.970,1
3092.953490,41.852,1
3093.113767,2.225,1
3093.248310,1.939,1
3093.385549,1.762,1
3093.523648,1.939,1
3093.656362,1.700,1
3093.773495,1.694,1
3093.890915,2.223,1
3094.007838,2.205,1
3094.125919,1.760,1
3094.243964,1.868,1
3094.365237,1.920,1
3094.485376,2.252,1
3094.606328,1.886,1
3094.712513,2.067,1
3094.851329,1.961,1
3094.962448,2.069,1
3095.083274,3.325,1
3095.200839,1.932,1
3095.322069,3.011,1
3095.446209,2.151,1
3095.580159,1.994,1
3095.700484,2.591,1
3095.835046,2.204,1
3095.950207,2.174,1
3096.075128,1.715,1
3096.190467,2.417,1
3096.306965,1.914,1
3096.453787,47.410,1
3096.622355,2.616,1
